lakeid,sampledate,depth,o2,deck,light,frlight
CB,7/30/81,0,7.4,400,110,0.275
CB,7/30/81,0.5,,,,
CB,7/30/81,1,7,,12,
CB,7/30/81,1.5,,,,
CB,7/30/81,2,1.3,,1.8,
CB,7/30/81,2.5,,,0,
CB,8/10/81,0,,115,49,0.426
CB,8/10/81,1,,,3.4,
CB,8/10/81,2,,,0.5,
CB,8/27/81,0,6.3,,200,
CB,8/27/81,0.5,6.5,,,
CB,8/27/81,1,6.5,,10,
CB,8/27/81,1.5,0.9,,,
CB,8/27/81,2,0.2,,3,
CB,9/10/81,0,,682,448,0.657
CB,9/10/81,1,,,39.5,
CB,9/10/81,2,,,3.1,
CB,9/10/81,2.3,,,0.3,
CB,9/25/81,0,,156,87,0.558
CB,9/25/81,1,,,3.7,
CB,9/25/81,2,,,0.4,
CB,10/23/81,0,9.9,177,97,0.548
CB,10/23/81,0.5,9.9,,,
CB,10/23/81,1,9.9,,2.5,
CB,10/23/81,1.5,9.9,,,
CB,10/23/81,2,9.9,,0,
CB,1/18/82,0,7.3,,,
CB,1/18/82,0.5,7.4,,,
CB,1/18/82,1,2.2,,,
CB,1/18/82,1.5,0.9,,,
CB,1/18/82,2,0.7,,,
CB,2/22/82,0,,,,
CB,2/22/82,0.5,4,,,
CB,2/22/82,1,0.9,,,
CB,2/22/82,1.5,0.6,,,
CB,2/22/82,2,0.6,,,
CB,4/7/82,0,10.4,,,
CB,4/7/82,0.5,5.5,,,
CB,4/7/82,1,0.6,,,
CB,4/7/82,1.5,0.4,,,
CB,4/7/82,2,0.3,,,
CB,5/13/82,0,7.5,225,140,0.622
CB,5/13/82,0.5,7.5,225,33,0.147
CB,5/13/82,1,7,225,4,0.018
CB,5/13/82,1.5,0.6,210,0,0
CB,5/13/82,2,0.1,,,
CB,5/24/82,0,7.3,1900,1700,0.895
CB,5/24/82,0.5,7.3,1900,760,0.4
CB,5/24/82,1,6.2,1950,46,0.024
CB,5/24/82,1.5,3.2,460,11.5,0.025
CB,5/24/82,2,0.8,490,2.5,0.005
CB,6/10/82,0,6.5,1800,1600,0.889
CB,6/10/82,0.5,,,,
CB,6/10/82,1,6.4,1700,250,0.147
CB,6/10/82,1.5,2.9,1800,65,0.036
CB,6/10/82,2,1.7,1800,28,0.016
CB,6/23/82,0,,950,730,0.768
CB,6/23/82,0.5,,,,
CB,6/23/82,1,,950,105,0.111
CB,6/23/82,1.5,,910,48,0.053
CB,6/23/82,2,,910,38,0.042
CB,7/6/82,0,9.9,2000,1500,0.75
CB,7/6/82,1,3.6,2000,230,0.115
CB,7/6/82,1.5,1,,,
CB,7/22/82,0,7.3,,,
CB,7/22/82,0.5,,,,
CB,7/22/82,1,7.2,,,
CB,7/22/82,2,0.1,,,
CB,7/22/82,2.4,0.1,,,
CB,8/4/82,0,7.7,,1500,
CB,8/4/82,0.5,7.8,,700,
CB,8/4/82,1,7.2,,130,
CB,8/4/82,1.5,1.2,,0,
CB,8/4/82,2,0.2,,,
CB,8/19/82,0,,,1470,
CB,8/19/82,0.5,,,490,
CB,8/19/82,1,,,143,
CB,8/19/82,1.5,,,45,
CB,8/19/82,2,,,9.8,
CB,9/7/82,0,,1200,1000,0.833
CB,9/7/82,0.5,,1230,380,0.309
CB,9/7/82,1,,1140,89,0.078
CB,9/7/82,1.5,,1080,16.5,0.015
CB,9/7/82,2,,1200,6.2,0.005
CB,9/22/82,0,5.6,,,
CB,9/22/82,0.5,5.5,,,
CB,9/22/82,1,4.7,,,
CB,9/22/82,1.5,4.7,,,
CB,9/22/82,2,4.6,,,
CB,10/6/82,0,8.6,580,320,0.552
CB,10/6/82,0.5,8.6,510,130,0.255
CB,10/6/82,1,7.3,560,26,0.046
CB,10/6/82,1.5,6.2,460,8,0.017
CB,10/6/82,2,3.6,430,3.1,0.007
CB,10/6/82,2.3,2.1,390,1.2,0.003
CB,10/22/82,0,7.6,775,580,0.748
CB,10/22/82,0.5,8.6,830,290,0.349
CB,10/22/82,1,8.6,870,66,0.076
CB,10/22/82,1.5,8.6,720,13,0.018
CB,10/22/82,2,8.5,720,3.8,0.005
CB,11/11/82,0,9.6,54,36,0.667
CB,11/11/82,0.5,,54,22,0.407
CB,11/11/82,1,9.5,53,2.18,0.041
CB,11/11/82,1.5,,50,0.82,0.016
CB,11/11/82,2,9,47,0.29,0.006
CB,12/1/82,0,13.5,,,
CB,12/1/82,1,8.9,,,
CB,12/1/82,2,3.8,,,
CB,1/11/83,0,14.1,,,
CB,1/11/83,1,1.3,,,
CB,1/11/83,2,0.8,,,
CB,1/11/83,2,,,,
CB,2/23/83,0,13.1,,,
CB,2/23/83,0,,,,
CB,2/23/83,0.5,5.3,,,
CB,2/23/83,1,0.1,,,
CB,2/23/83,1.5,0.1,,,
CB,2/23/83,2,0,,,
CB,3/25/83,0,10.8,,,
CB,3/25/83,0,,,,
CB,3/25/83,1,2.3,,,
CB,3/25/83,2,0.5,,,
CB,5/12/83,0,9.5,318,235,0.739
CB,5/12/83,0.5,,328,84,0.256
CB,5/12/83,1,4.6,332,12.7,0.038
CB,5/12/83,1,,,,
CB,5/12/83,1.5,,350,4.45,0.013
CB,5/12/83,2,0.1,355,1.64,0.005
CB,5/26/83,0,9.2,1500,1250,0.833
CB,5/26/83,1,9,1500,125,0.083
CB,5/26/83,2,0.8,1500,12.5,0.008
CB,5/26/83,2,,,,
CB,6/7/83,0,9.1,1250,980,0.784
CB,6/7/83,0,,,,
CB,6/7/83,1,9.6,1250,44.5,0.036
CB,6/7/83,2,0.5,1250,2.9,0.002
CB,6/23/83,0,7.8,1640,1370,0.835
CB,6/23/83,0,,,,
CB,6/23/83,1,9.4,1620,210,0.13
CB,6/23/83,2,0.8,1430,12.2,0.009
CB,7/7/83,0,7.8,1650,1500,0.909
CB,7/7/83,0,,,,
CB,7/7/83,1,5.4,1650,225,0.136
CB,7/7/83,2,0.8,1650,16.2,0.01
CB,7/19/83,0,6.2,1750,1550,0.886
CB,7/19/83,0,,,,
CB,7/19/83,1,5.1,1675,145,0.087
CB,7/19/83,2,0.4,1750,15.5,0.009
CB,8/1/83,0,7,1600,1010,0.631
CB,8/1/83,0,,,,
CB,8/1/83,1,6.2,400,21,0.053
CB,8/1/83,2,0.6,400,0.85,0.002
CB,8/18/83,0,7.7,960,790,0.823
CB,8/18/83,0,,,,
CB,8/18/83,1,7,1004,95,0.095
CB,8/18/83,2,0.4,1005,12.7,0.013
CB,9/7/83,0,6.6,1480,1320,0.892
CB,9/7/83,0,,,,
CB,9/7/83,1,5.4,1460,132,0.09
CB,9/7/83,2,4.5,1520,26,0.017
CB,9/29/83,0,8.9,350,240,0.686
CB,9/29/83,0,,,,
CB,9/29/83,1,9.5,350,35,0.1
CB,9/29/83,2,6.6,350,7.1,0.02
CB,10/18/83,0,8.4,175,130,0.743
CB,10/18/83,1,8.3,173,13.2,0.076
CB,10/18/83,2,7.7,172,2.67,0.016
CB,10/18/83,2,,,,
CB,11/16/83,0,12,,,
CB,11/16/83,0,,,,
CB,11/16/83,1,10.2,,,
CB,11/16/83,2,9,,,
CB,1/5/84,0,12.7,,,
CB,1/5/84,0,,,,
CB,1/5/84,1,1.8,,,
CB,1/5/84,2,0.3,,,
CB,2/20/84,0,9.3,,,
CB,2/20/84,0,,,,
CB,2/20/84,1,1.5,,,
CB,2/20/84,2,0.3,,,
CB,4/9/84,0,5.9,,,
CB,4/9/84,0,,,,
CB,4/9/84,1,2.5,,,
CB,4/9/84,2,0.3,,,
CB,4/9/84,2,,,,
CB,5/10/84,0,9.8,532,418,0.786
CB,5/10/84,0,,,,
CB,5/10/84,1,9.2,570,31.8,0.056
CB,5/10/84,2,7.1,622,5.6,0.009
CB,5/24/84,0,8.6,,,
CB,5/24/84,0,,,,
CB,5/24/84,1,8.6,,,
CB,5/24/84,2,5.2,,,
CB,6/5/84,0,8.1,1800,1400,0.778
CB,6/5/84,0,,,,
CB,6/5/84,1,9.5,1700,250,0.147
CB,6/5/84,2,3.8,1750,29.2,0.017
CB,6/5/84,2,,,,
CB,6/18/84,0,7.9,1500,1100,0.733
CB,6/18/84,0,,,,
CB,6/18/84,1,6.6,1500,52,0.035
CB,6/18/84,2,0.9,1500,25.7,0.017
CB,6/18/84,2,,,,
CB,7/4/84,0,7.4,1500,849,0.566
CB,7/4/84,1,5.9,1510,161,0.107
CB,7/4/84,1,,,,
CB,7/4/84,2,0.5,1560,5.6,0.004
CB,7/4/84,2,,,,
CB,7/18/84,0,,345,178,0.516
CB,7/18/84,0,,,,
CB,7/18/84,1,,456,56.5,0.124
CB,7/18/84,2,,456,9.41,0.021
CB,7/18/84,2,,,,
CB,7/31/84,0,7.9,780,290,0.372
CB,7/31/84,0,,,,
CB,7/31/84,1,7.7,690,81,0.117
CB,7/31/84,2,1,610,16.8,0.028
CB,8/16/84,0,8.6,1310,1100,0.84
CB,8/16/84,0,,,,
CB,8/16/84,1,8.5,1410,240,0.17
CB,8/16/84,2,1.7,1430,51,0.036
CB,8/16/84,2,,,,
CB,9/6/84,0,6.4,1250,1060,0.848
CB,9/6/84,0,,,,
CB,9/6/84,1,5.7,1300,185,0.142
CB,9/6/84,1,,,,
CB,9/6/84,2,5.6,1250,39.2,0.031
CB,9/24/84,0,7.2,52,33.8,0.65
CB,9/24/84,0,,,,
CB,9/24/84,1,7.1,51,5.9,0.116
CB,9/24/84,1,,,,
CB,9/24/84,2,7.1,50,1.72,0.034
CB,10/17/84,0,8.1,1010,770,0.762
CB,10/17/84,0,,,,
CB,10/17/84,1,8.1,1010,145,0.144
CB,10/17/84,2,7.7,930,37,0.04
CB,10/17/84,2,,,,
CB,11/5/84,0,11.7,340,220,0.647
CB,11/5/84,0,,,,
CB,11/5/84,1,11.6,370,34.1,0.092
CB,11/5/84,2,10,410,16,0.039
CB,11/5/84,2,,,,
CB,1/15/85,0,8.1,196,4.1,0.021
CB,1/15/85,0,,,,
CB,1/15/85,1,1.9,193,1.2,0.006
CB,1/15/85,1,,,,
CB,1/15/85,2,1.3,194,0.02,0
CB,2/26/85,0,5.3,680,36,0.053
CB,2/26/85,0,,,,
CB,2/26/85,0.5,,,,
CB,2/26/85,0.5,,,,
