lakeid,sampledate,depth,chlor,phaeo
CB,7/30/81,0,26.4,
CB,7/30/81,1,50.6,
CB,7/30/81,2,267.2,
CB,8/10/81,0,14.7,
CB,8/10/81,1,27.4,
CB,8/10/81,2,50.6,
CB,8/27/81,0,24.3,
CB,8/27/81,1,29.2,
CB,8/27/81,2,125.5,
CB,9/10/81,0,37,
CB,9/10/81,1,35,
CB,9/10/81,2,40.3,
CB,9/25/81,0,63.4,
CB,9/25/81,1,56.1,
CB,9/25/81,2,27.9,
CB,10/23/81,0,43.3,
CB,10/23/81,1,42.3,
CB,1/18/82,0,19.8,
CB,1/18/82,1,10.4,
CB,2/22/82,0,0,
CB,2/22/82,1,7.8,
CB,4/7/82,0,4.6,
CB,4/7/82,1,5.4,
CB,5/13/82,0,8.4,
CB,5/13/82,1,21.3,
CB,5/24/82,0,4.3,
CB,5/24/82,1,14.9,
CB,6/10/82,0,9.1,
CB,6/10/82,1,19.4,
CB,6/23/82,0,7.2,0.7
CB,6/23/82,1,11.5,1.8
CB,7/6/82,0,3.1,0.8
CB,7/6/82,1,15.8,4.3
CB,7/6/82,1.5,14.6,5.9
CB,7/22/82,0,5.5,0.8
CB,7/22/82,1,26.2,4.4
CB,8/4/82,0,4.1,1
CB,8/4/82,1,19.1,2.8
CB,8/19/82,0,0,6.4
CB,8/19/82,1,2.5,2.1
CB,8/19/82,2,33.8,51.7
CB,9/7/82,0,10.6,0.5
CB,9/7/82,1,12.5,3.4
CB,9/22/82,0,3.5,0.8
CB,9/22/82,1,6.8,2
CB,9/22/82,2,2.6,2
CB,10/6/82,0,6.5,0.3
CB,10/6/82,1,36.4,6.8
CB,10/6/82,2,3.1,1.1
CB,10/22/82,0,8.5,1.1
CB,10/22/82,0.5,9.1,2.7
CB,10/22/82,1,14.6,0.1
CB,10/22/82,1.5,9.8,1.3
CB,11/11/82,0,7.6,0.7
CB,11/11/82,1,5.4,1.3
CB,11/11/82,2,2.9,2.1
CB,12/1/82,0,1.7,0.8
CB,12/1/82,1,7.3,-0.3
CB,12/1/82,2,3.3,3.1
CB,1/11/83,0,6.5,0.8
CB,1/11/83,1,1.4,3.5
CB,1/11/83,2,0.3,1.5
CB,2/23/83,0,0.8,0.3
CB,2/23/83,1,3.3,1.1
CB,2/23/83,2,3.8,3.5
CB,3/25/83,0,21.3,3.2
CB,3/25/83,1,7.3,1.3
CB,3/25/83,2,14.2,21.8
CB,5/12/83,0,6.3,0.3
CB,5/12/83,1,6.1,2
CB,5/12/83,2,16.6,0.9
CB,5/26/83,0,2.5,0.4
CB,5/26/83,1,8.5,15.8
CB,5/26/83,2,8.7,14
CB,6/7/83,0,3.1,-0.3
CB,6/7/83,1,26.4,0.1
CB,6/7/83,2,25.4,6.6
CB,6/23/83,0,3.1,1.3
CB,6/23/83,1,15.9,-1.4
CB,6/23/83,2,65,11.3
CB,7/7/83,0,4.8,-0.5
CB,7/7/83,1,3.4,2.7
CB,7/19/83,0,4.4,0.7
CB,7/19/83,1,5.2,0.6
CB,7/19/83,2,66,4.5
CB,8/1/83,0,1.6,4.5
CB,8/1/83,1,3.9,1.4
CB,8/1/83,2,14.4,5.7
CB,8/18/83,0,8.5,1.1
CB,8/18/83,1,8.5,0.4
CB,8/18/83,2,19.7,7.8
CB,9/7/83,0,8.4,3.9
CB,9/7/83,1,16.7,-0.1
CB,9/7/83,2,10.8,3.9
CB,9/29/83,0,6.4,0.7
CB,9/29/83,2,4.8,1.8
CB,10/18/83,0,12.1,2.1
CB,10/18/83,1,27.9,-2
CB,10/18/83,2,6.7,2.6
CB,11/16/83,0,6.8,39.7
CB,11/16/83,2,54.3,-4.2
CB,1/5/84,0,21.5,-2.5
CB,1/5/84,1,6.3,5.1
CB,1/5/84,2,15,6.4
CB,2/20/84,0,4.4,1.9
CB,2/20/84,1,0.9,1.8
CB,2/20/84,2,4.4,10.5
CB,4/9/84,0,5,1.2
CB,4/9/84,1,14.7,35.6
CB,4/9/84,2,55,104
CB,4/9/84,2,118.2,84.1
CB,5/10/84,0,5.4,2.1
CB,5/10/84,1,18.8,2.4
CB,5/10/84,2,7.4,3.6
CB,6/5/84,0,4.8,0
CB,6/5/84,2,78,13.8
CB,6/5/84,2,207.9,6.2
CB,6/18/84,0,3.5,0.1
CB,6/18/84,1,15.4,3.2
CB,6/18/84,2,60.9,5.8
CB,6/18/84,2,56.7,21.3
CB,7/4/84,0,8.6,-0.1
CB,7/4/84,1,13.7,1.4
CB,7/4/84,2,,-5.8
CB,7/4/84,2,263.3,-59.9
CB,7/18/84,0,4.7,-0.3
CB,7/18/84,1,10.3,-0.3
CB,7/18/84,2,19.7,-1.8
CB,7/18/84,2,13.7,4.5
CB,7/31/84,0,5.6,-0.9
CB,7/31/84,1,8,1
CB,7/31/84,2,21.5,0.3
CB,8/16/84,0,11.2,-1.1
CB,8/16/84,1,18.5,2.1
CB,8/16/84,2,51.4,-2.6
CB,8/16/84,2,50.9,4.9
CB,9/6/84,0,4.6,1.9
CB,9/6/84,1,7.3,2.3
CB,9/6/84,1,14,4.4
CB,9/6/84,2,8.6,3.7
CB,9/24/84,0,7.2,-1.2
CB,9/24/84,1,3.7,2
CB,9/24/84,1,5,1.4
CB,9/24/84,2,5.8,0
CB,10/17/84,0,5.1,2.5
CB,10/17/84,1,9.5,1.1
CB,10/17/84,2,6.7,1.9
CB,10/17/84,2,6.3,2.1
CB,11/5/84,0,9.4,-0.3
CB,11/5/84,1,7.4,1.2
CB,11/5/84,2,17.9,0.6
CB,11/5/84,2,17.5,0
CB,1/15/85,0,19.7,0.8
CB,1/15/85,1,2.2,2.6
CB,1/15/85,1,1.8,3.1
CB,1/15/85,2,1.2,3.7
CB,2/26/85,0,5.4,0.6
CB,2/26/85,0,9.3,0.5
CB,2/26/85,1,9,1.2
CB,2/26/85,2,17.7,3.2
CB,3/26/85,0,6.5,-0.6
CB,3/26/85,1,21,1.7
CB,3/26/85,2,48,5.8
CB,3/26/85,2,44.2,8.2
CB,5/2/85,0,5,-0.5
CB,5/2/85,2,8.5,2
CB,5/2/85,2,8.7,1.4
CB,5/14/85,0,5.4,0.1
CB,5/14/85,1,18.3,-1.1
CB,5/14/85,2,14.1,4.4
CB,5/14/85,2,14,3.7
CB,5/30/85,0,6.4,0.1
CB,5/30/85,0,7.8,9.6
CB,5/30/85,1,26.2,-1.7
CB,5/30/85,2,18.1,1.8
CB,6/10/85,0,4.7,-0.2
CB,6/10/85,1,12.9,1.4
CB,6/10/85,1,12.8,1
CB,6/10/85,2,11.6,1.1
CB,6/25/85,0,3.4,1.3
CB,6/25/85,1,6.8,-1.2
CB,6/25/85,2,6,3.5
CB,6/25/85,2,4.4,3.6
CB,7/10/85,0,4.7,0.7
CB,7/10/85,1,2.5,0.5
CB,7/10/85,1,4.7,0.7
CB,7/10/85,2,12.7,3.6
CB,7/22/85,0,4.8,0.8
CB,7/22/85,1,7.3,-0.6
CB,7/22/85,2,34,5.7
CB,7/22/85,2,18.7,10.7
CB,8/5/85,0,3.1,0.1
CB,8/5/85,1,7.7,0.8
CB,8/5/85,2,44.5,-4.5
CB,8/5/85,2,33.5,-0.1
CB,8/20/85,0,22.4,5.6
CB,8/20/85,1,24.9,-2.3
CB,8/20/85,2,10.8,0.5
CB,8/20/85,2,13.1,2
CB,9/9/85,1,6.1,1.3
CB,9/9/85,2,33.5,-2.8
CB,9/9/85,2,19.7,0.9
CB,10/3/85,0,3.5,0.7
CB,10/3/85,1,11.2,0.5
CB,10/3/85,2,5.2,2.2
CB,10/3/85,2,5.8,0.4
CB,10/24/85,0,11.1,-1
CB,10/24/85,1,16.8,0.8
CB,10/24/85,2,5.5,1.9
CB,10/24/85,2,4.1,2
CB,11/12/85,0,14.1,-0.2
CB,11/12/85,1,10.7,1.7
CB,11/12/85,2,12.4,1.5
CB,11/12/85,2,13.7,0.2
CB,1/13/86,0,1.3,1.3
CB,1/13/86,1,4.3,1
CB,1/13/86,2,3.7,2.1
CB,1/13/86,2,4.1,1.7
CB,2/25/86,0,2.4,0.7
CB,2/25/86,0,2.2,1.1
CB,2/25/86,1,4,3.9
CB,2/25/86,2,1.5,4.6
CB,4/23/86,0,6.2,2.7
CB,4/23/86,1,10.8,2.7
CB,4/23/86,1,10.2,2.9
CB,4/23/86,2,8.3,4.3
CB,5/6/86,0,4.7,1.2
CB,5/6/86,1,10.3,4.1
CB,5/6/86,2,12.6,7.2
CB,5/6/86,2,12.9,6.8
CB,5/20/86,0,2.1,3.1
CB,5/20/86,1,13.8,2.4
CB,5/20/86,1,11.4,1.9
CB,5/20/86,2,21.4,0.5
CB,6/2/86,0,2.9,0.6
CB,6/2/86,1,42.6,5.3
CB,6/2/86,2,30.2,15.7
CB,6/2/86,2,36,14.8
CB,6/17/86,0,3.6,0.9
CB,6/17/86,1,5,0.1
CB,6/17/86,2,20.7,7.2
CB,7/1/86,0,4,0.8
CB,7/1/86,1,6.4,0.8
CB,7/1/86,2,8.5,2.4
CB,7/1/86,2,7.5,3
CB,7/14/86,0,6.1,1.1
CB,7/14/86,1,12.3,3.2
CB,7/14/86,1,11.6,-0.5
CB,7/14/86,2,9,1.6
CB,7/31/86,0,5.9,1.4
CB,7/31/86,1,12.1,3.3
CB,7/31/86,2,14.5,4.4
CB,7/31/86,2,11.7,3.5
CB,8/11/86,0,3.2,1
CB,8/11/86,1,8.7,3.5
CB,8/11/86,1,9.8,2.1
CB,8/11/86,2,8.5,2.7
