lakeid,sampledate,avsnow,sdsnow,totice,whiteice
CB,1/5/84,12.3,1.2,22.1,15.7
CB,1/9/12,5,,25,14
CB,1/11/83,28.1,1,25.5,25.5
CB,1/12/95,4.9,,34,6
CB,1/12/05,6.1,,35,22
CB,1/12/06,6,,25,13
CB,1/13/86,20.4,0.7,32,17
CB,1/13/97,15.9,,42,30
CB,1/14/93,16.4,,28,17
CB,1/14/10,12.1,,24,21
CB,1/15/85,10.1,0.6,28,6
CB,1/15/91,20.2,,23,0
CB,1/15/92,14.4,,29,5
CB,1/16/01,23.5,,21,13
CB,1/17/94,11.9,,29,17
CB,1/17/96,27.2,,31,31
CB,1/17/17,17.9,,24,16
CB,1/18/82,13.9,0.6,28.2,19.2
CB,1/18/90,8.5,,26.5,20.5
CB,1/19/89,16.5,,38.5,22
CB,1/19/99,15.2,,26,0
CB,1/20/87,15,0,22,17
CB,1/20/88,23.1,0.7,24,20
CB,1/20/98,20,,27,6
CB,1/21/04,20.9,,31,11
CB,1/22/02,9.9,,20,14
CB,1/22/07,9,,27,10
CB,1/22/09,17.9,,33,17
CB,1/23/15,18,,28,13
CB,1/25/11,18.4,,32.5,13
CB,1/25/16,16.5,,22,8
CB,1/28/00,17,,28,18
CB,1/28/08,14,,33,15
CB,1/28/13,22.4,,30,7
CB,2/3/03,27.3,,41,41
CB,2/3/14,23.4,,47,29
CB,2/15/95,18.4,,41.5,6
CB,2/17/97,20.4,,49,41
CB,2/17/09,5,,42,20
CB,2/17/11,6.6,,41,16
CB,2/18/91,9.4,,38,30
CB,2/18/13,18.6,,46,18
CB,2/19/98,0.7,,40,25
CB,2/20/84,9.1,0.6,37,21
CB,2/20/96,19.2,,45,40
CB,2/20/03,16.2,,43,5
CB,2/20/14,30.4,,47,27
CB,2/21/89,13.6,,42.8,26
CB,2/21/07,11,,34,13
CB,2/22/82,6.7,0.5,43.4,17.5
CB,2/22/02,21.6,,26,14
CB,2/22/10,15.3,,36,23
CB,2/22/12,13.4,,35,24
CB,2/23/83,5,0.8,32.5,21
CB,2/23/87,7.7,0.7,37,21
CB,2/23/94,1,,35,15
CB,2/23/00,2.3,,41,17
CB,2/23/06,17.2,,37,27
CB,2/23/17,2.5,,29,23
CB,2/24/16,9,,32,23
CB,2/25/86,27.4,0.8,44,34
CB,2/25/92,29,,36,31
CB,2/25/93,8.9,,44.5,32.5
CB,2/25/99,15,,40,40
CB,2/25/08,20.9,,42,24
CB,2/26/85,16.5,1,35,9
CB,2/27/90,19.2,,46,30
CB,2/27/04,7.8,,53,29
CB,2/28/05,25.2,,45,19
CB,2/29/88,9.6,0.5,48,43.5
CB,3/1/01,17,,40,34
CB,3/6/15,28,,30,24
CB,3/17/98,9.1,,31,20
CB,3/17/11,0,,48,20
CB,3/18/09,0,,41,19
CB,3/19/87,0,,41,41
CB,3/20/95,0,,30,30
CB,3/22/91,0,,42,15
CB,3/23/93,8.6,,50,33
CB,3/23/15,0,,25,19
CB,3/23/88,4.1,0.2,46,41
CB,3/24/17,0,,34,24
CB,3/25/83,10.3,0.4,32,22
CB,3/24/08,16.1,,52,25
CB,3/26/85,0.5,0.7,44,18
CB,3/25/92,2.9,,38,31
CB,3/27/06,2.2,,42,37
CB,3/28/89,,,43,21.4
CB,3/28/90,0,,30,17
CB,3/28/13,9.5,,59,29
CB,3/29/99,0,,40,27
CB,3/30/94,13.4,,32,10.5
CB,3/31/05,1.8,,39,12
CB,3/31/14,10.3,,55,39
CB,4/1/03,6.7,,31,29
CB,4/2/01,4.9,,44,37
CB,4/2/02,7,,52,45
CB,4/7/82,5.9,0.7,41.5,32
CB,4/6/04,0,,30,13
CB,4/8/96,13.8,,64,54
CB,4/9/84,0,0,31,20
CB,4/10/97,0,,39,39
CB,11/12/85,0,,3,0
CB,11/16/83,,,3,
CB,12/1/82,0,0,11,0
