lakeid,sampledate,depth,o2,deck,light,frlight
TB,7/15/81,0,,105,65,0.619
TB,7/15/81,1,,,3.3,
TB,7/15/81,2,,,0.1,
TB,7/15/81,3,,,0,
TB,7/15/81,4,,,,
TB,7/15/81,5,,,,
TB,7/15/81,6,,,,
TB,7/15/81,7,,,,
TB,7/15/81,7.6,,,,
TB,7/29/81,0,9.2,220,100,0.455
TB,7/29/81,1,8.8,,54,
TB,7/29/81,2,1.4,,0.8,
TB,7/29/81,3,1.8,,0,
TB,7/29/81,4,2,,,
TB,7/29/81,5,2.1,,,
TB,7/29/81,6,2.2,,,
TB,7/29/81,7,2.2,,,
TB,7/29/81,8,,,,
TB,8/12/81,0,,530,215,0.406
TB,8/12/81,1,,,19.5,
TB,8/12/81,2,,,1.4,
TB,8/12/81,3,,,0.2,
TB,8/12/81,4,,,0.1,
TB,8/12/81,5,,,0.1,
TB,8/12/81,6,,,0,
TB,8/12/81,7,,,0,
TB,8/12/81,7.5,,,0,
TB,8/27/81,0,7.5,270,130,0.481
TB,8/27/81,1,6.6,,62,
TB,8/27/81,2,0.1,,0.9,
TB,8/27/81,3,0.1,,0,
TB,8/27/81,4,0.1,,0,
TB,8/27/81,5,0.1,,0,
TB,8/27/81,6,0.1,,0,
TB,8/27/81,7,0.1,,0,
TB,9/14/81,0,,670,400,0.597
TB,9/14/81,1,,,22,
TB,9/14/81,2,,,2.7,
TB,9/14/81,2.5,,,,
TB,9/14/81,3,,,0,
TB,9/14/81,4,,,0,
TB,9/14/81,5,,,,
TB,9/14/81,6,,,,
TB,9/14/81,7,,,,
TB,9/14/81,7.7,,,,
TB,9/26/81,0,,220,170,0.773
TB,9/26/81,1,,,10,
TB,9/26/81,2,,,0,
TB,9/26/81,3,,,,
TB,9/26/81,4,,,,
TB,9/26/81,5,,,,
TB,9/26/81,6,,,,
TB,9/26/81,6.5,,,,
TB,9/26/81,7,,,,
TB,10/23/81,0,6.2,109,60,0.55
TB,10/23/81,1,6.1,,1.6,
TB,10/23/81,2,6.1,,0,
TB,10/23/81,3,5.6,,,
TB,10/23/81,4,5.6,,,
TB,10/23/81,5,5.2,,,
TB,10/23/81,6,0.5,,,
TB,10/23/81,6.5,0.6,,,
TB,1/27/82,0,8.6,,,
TB,1/27/82,1,6,,,
TB,1/27/82,2,4.3,,,
TB,1/27/82,3,2.8,,,
TB,1/27/82,4,1.1,,,
TB,1/27/82,5,0.6,,,
TB,1/27/82,6,0.5,,,
TB,1/27/82,7,0.5,,,
TB,3/3/82,0,,,,
TB,3/3/82,1,5.1,,,
TB,3/3/82,2,1.1,,,
TB,3/3/82,3,0.7,,,
TB,3/3/82,4,0.7,,,
TB,3/3/82,5,0.6,,,
TB,3/3/82,6,0.5,,,
TB,3/3/82,7,0.5,,,
TB,4/6/82,0,6.9,,,
TB,4/6/82,1,2.6,,,
TB,4/6/82,2,0.6,,,
TB,4/6/82,3,0.1,,,
TB,4/6/82,4,0,,,
TB,4/6/82,5,0,,,
TB,4/6/82,6,0,,,
TB,4/6/82,7,0,,,
TB,5/12/82,0,8.3,450,300,0.667
TB,5/12/82,0.5,,450,37,0.082
TB,5/12/82,1,6,460,0,0
TB,5/12/82,2,0.2,,,
TB,5/12/82,3,0.1,,,
TB,5/12/82,4,0.1,,,
TB,5/12/82,5,0.1,,,
TB,5/12/82,6,0.1,,,
TB,5/12/82,7,0.1,,,
TB,5/24/82,0,7.5,410,260,0.634
TB,5/24/82,0.5,,,,
TB,5/24/82,1,6.7,410,15,0.037
TB,5/24/82,2,0.5,410,0.95,0.002
TB,5/24/82,3,0.3,410,0.2,0
TB,5/24/82,4,0.3,420,0.1,0
TB,5/24/82,5,0.3,420,0.05,0
TB,5/24/82,6,0.3,420,0,0
TB,5/24/82,7,0.3,,,
TB,6/7/82,0,6.7,820,500,0.61
TB,6/7/82,0.5,,,,
TB,6/7/82,1,7.2,900,70,0.078
TB,6/7/82,2,0.3,1000,33,0.033
TB,6/7/82,3,0.2,750,17,0.023
TB,6/7/82,4,0.2,800,15,0.019
TB,6/7/82,5,0.1,560,12.5,0.022
TB,6/7/82,6,0.1,630,11.2,0.018
TB,6/7/82,7,0.1,480,10.4,0.022
TB,6/21/82,0,,2125,1500,0.706
TB,6/21/82,0.5,,,,
TB,6/21/82,1,,2125,152,0.072
TB,6/21/82,2,,2100,17,0.008
TB,6/21/82,3,,2050,7.75,0.004
TB,6/21/82,4,,2150,5.5,0.003
TB,6/21/82,5,,2250,4.4,0.002
TB,6/21/82,6,,2250,4,0.002
TB,6/21/82,7,,2250,2.9,0.001
TB,7/7/82,0,7.5,1440,1180,0.819
TB,7/7/82,0.5,,,,
TB,7/7/82,1,5,1420,185,0.13
TB,7/7/82,2,0.1,1400,51,0.036
TB,7/7/82,3,0,1360,14.4,0.011
TB,7/7/82,4,0,1440,11.7,0.008
TB,7/7/82,5,0,1550,10.5,0.007
TB,7/7/82,6,0,450,9.3,0.021
TB,7/7/82,7,0,500,8,0.016
TB,7/22/82,0,7.9,,,
TB,7/22/82,0.5,,,,
TB,7/22/82,1,6.4,,,
TB,7/22/82,2,0.1,,,
TB,7/22/82,3,0.1,,,
TB,7/22/82,4,0,,,
TB,7/22/82,5,0,,,
TB,7/22/82,6,0,,,
TB,7/22/82,7,0,,,
TB,7/22/82,7.4,0,,,
TB,8/4/82,0,8.6,,230,
TB,8/4/82,0.5,,,,
TB,8/4/82,1,5.6,,12,
TB,8/4/82,2,0.3,,0,
TB,8/4/82,3,0.2,,,
TB,8/4/82,4,0.1,,,
TB,8/4/82,5,0,,,
TB,8/4/82,6,0,,,
TB,8/4/82,7,0,,,
TB,8/19/82,0,,,1350,
TB,8/19/82,1,,,105,
TB,8/19/82,2,,,6.65,
TB,8/19/82,3,,,0.92,
TB,8/19/82,4,,,0,
TB,8/19/82,5,,,,
TB,8/19/82,6,,,,
TB,8/19/82,7,,,,
TB,9/7/82,0,,1720,1500,0.872
TB,9/7/82,1,,1680,97.5,0.058
TB,9/7/82,2,,1680,9.1,0.005
TB,9/7/82,3,,1730,1.78,0.001
TB,9/7/82,4,,1690,0.15,0
TB,9/7/82,5,,1700,0.03,0
TB,9/7/82,6,,1640,0,0
TB,9/7/82,7,,,,
TB,9/20/82,0,8.2,500,460,0.92
TB,9/20/82,1,7.8,500,29,0.058
TB,9/20/82,2,7.1,420,2.3,0.005
TB,9/20/82,3,0.4,420,0.35,0.001
TB,9/20/82,4,0.3,525,0,0
TB,9/20/82,5,0.2,,,
TB,9/20/82,6,0.2,,,
TB,9/20/82,7,0.2,,,
TB,10/7/82,0,8.9,120,63,0.525
TB,10/7/82,1,8.7,120,3.6,0.03
TB,10/7/82,2,6.3,120,0.4,0.003
TB,10/7/82,3,1.5,115,0,0
TB,10/7/82,4,0.3,,,
TB,10/7/82,5,0.3,,,
TB,10/7/82,6,0.2,,,
TB,10/7/82,7,0.2,,,
TB,10/18/82,0,,418,322,0.77
TB,10/18/82,1,6.2,435,8.2,0.019
TB,10/18/82,2,5.7,430,0.72,0.002
TB,10/18/82,3,5.3,438,0.1,0
TB,10/18/82,4,0.3,410,0.02,0
TB,10/18/82,5,0.2,417,0,0
TB,10/18/82,6,0.2,,,
TB,10/18/82,7,0.1,,,
TB,10/18/82,7.4,,,,
TB,11/9/82,0,4.4,178,97,0.545
TB,11/9/82,1,4.4,172,2.8,0.016
TB,11/9/82,2,4.3,168,0.08,0
TB,11/9/82,3,4.2,164,0,0
TB,11/9/82,4,4.2,,,
TB,11/9/82,5,4.2,,,
TB,11/9/82,6,4.1,,,
TB,11/9/82,7,4,,,
TB,11/30/82,0,13,,,
TB,11/30/82,1,7,,,
TB,11/30/82,2,5.2,,,
TB,11/30/82,3,3.7,,,
TB,11/30/82,4,3.1,,,
TB,11/30/82,5,2.7,,,
TB,11/30/82,6,2.5,,,
TB,11/30/82,7,1.6,,,
TB,1/10/83,0,14.6,,,
TB,1/10/83,1,5.2,,,
TB,1/10/83,2,3.4,,,
TB,1/10/83,3,4.6,,,
TB,1/10/83,4,1.2,,,
TB,1/10/83,5,0.4,,,
TB,1/10/83,6,0.2,,,
TB,1/10/83,7,0.1,,,
TB,2/22/83,0,12.7,,,
TB,2/22/83,1,4.5,,,
TB,2/22/83,2,1.6,,,
TB,2/22/83,3,0.6,,,
TB,2/22/83,3,,,,
TB,2/22/83,4,0.2,,,
TB,2/22/83,5,0.1,,,
TB,2/22/83,6,0.1,,,
TB,2/22/83,7,0,,,
TB,3/24/83,0,11.3,,,
TB,3/24/83,1,4.8,,,
TB,3/24/83,1,,,,
TB,3/24/83,2,1.1,,,
TB,3/24/83,3,0.2,,,
TB,3/24/83,4,0.2,,,
TB,3/24/83,5,0.2,,,
TB,3/24/83,6,0.2,,,
TB,3/24/83,7,0.2,,,
TB,5/9/83,0,9.1,940,690,0.734
TB,5/9/83,1,9,930,26,0.028
TB,5/9/83,1,,,,
TB,5/9/83,2,2.8,930,1.37,0.001
TB,5/9/83,3,2.2,935,0.13,0
TB,5/9/83,4,2.2,940,0.04,0
TB,5/9/83,5,0.3,935,0.02,0
TB,5/9/83,6,0.2,885,0.02,0
TB,5/9/83,7,0.3,875,0.01,0
TB,5/24/83,0,9.6,,,
TB,5/24/83,1,6.2,,,
TB,5/24/83,1,,,,
TB,5/24/83,2,2.4,,,
TB,5/24/83,3,0.5,,,
TB,5/24/83,4,0,,,
TB,5/24/83,5,0,,,
TB,5/24/83,6,0,,,
TB,5/24/83,7,0,,,
TB,6/9/83,0,9,1700,1250,0.735
TB,6/9/83,1,6.7,1750,125,0.071
TB,6/9/83,2,1.4,1725,85.6,0.05
TB,6/9/83,3,0.5,1650,0.65,0
TB,6/9/83,3,,,,
TB,6/9/83,4,0.5,1725,0.25,0
TB,6/9/83,5,0.4,,,
TB,6/9/83,6,0.3,,,
TB,6/9/83,7,0.3,,,
TB,6/23/83,0,7.6,1890,1320,0.698
TB,6/23/83,1,3.4,1980,110,0.056
TB,6/23/83,2,0,1970,11,0.006
TB,6/23/83,3,0,1970,0.7,0
TB,6/23/83,4,0,1960,0.23,0
TB,6/23/83,5,0,1980,0.08,0
TB,6/23/83,5,,,,
TB,6/23/83,6,0,1830,0,0
TB,6/23/83,7,0,,,
TB,7/5/83,0,7.5,1570,1450,0.924
TB,7/5/83,1,6.8,1570,118,0.075
TB,7/5/83,2,1,1560,7.2,0.005
TB,7/5/83,3,0.8,1560,0.69,0
TB,7/5/83,4,0.5,1550,0.21,0
TB,7/5/83,5,0.4,1550,0.12,0
TB,7/5/83,6,0.4,1550,0.04,0
TB,7/5/83,7,0.4,1560,0.02,0
TB,7/5/83,7,,,,
TB,7/19/83,0,7.4,1660,1350,0.813
TB,7/19/83,0,,,,
TB,7/19/83,1,8.3,1660,78.5,0.047
TB,7/19/83,2,0.6,1660,6.56,0.004
TB,7/19/83,3,0.4,1660,1.25,0.001
TB,7/19/83,4,0.2,1660,0.38,0
TB,7/19/83,5,0.2,1660,0.17,0
TB,7/19/83,6,0.2,1660,0.05,0
TB,7/19/83,7,0.1,1660,0.01,0
TB,8/3/83,0,9,1050,780,0.743
TB,8/3/83,1,8,1900,90,0.047
TB,8/3/83,2,0.2,1950,6.45,0.003
TB,8/3/83,3,0.2,1300,1.05,0.001
TB,8/3/83,4,0.2,560,0.35,0.001
TB,8/3/83,5,0.2,550,0.05,0
TB,8/3/83,6,0.2,545,0.02,0
TB,8/3/83,7,0.2,,,
TB,8/3/83,7,,,,
TB,8/17/83,0,8.3,,,
TB,8/17/83,1,9,,,
TB,8/17/83,2,0.4,,,
TB,8/17/83,3,0.2,,,
TB,8/17/83,4,0.2,,,
TB,8/17/83,5,0.2,,,
TB,8/17/83,5,,,,
TB,8/17/83,6,0.2,,,
TB,8/17/83,7,0.2,,,
TB,9/8/83,0,6.2,920,730,0.793
TB,9/8/83,0,,,,
TB,9/8/83,1,5.7,950,50,0.053
TB,9/8/83,2,0.2,1070,3,0.003
TB,9/8/83,3,0.1,1020,0.1,0
TB,9/8/83,4,0.1,,,
TB,9/8/83,5,0,,,
TB,9/8/83,6,0,,,
TB,9/8/83,7,0,,,
TB,9/28/83,0,9.8,850,700,0.824
TB,9/28/83,1,5.8,870,41,0.047
TB,9/28/83,2,5.4,875,5.5,0.006
TB,9/28/83,3,1.3,950,0.67,0.001
TB,9/28/83,4,0.1,950,0.15,0
TB,9/28/83,5,0.1,960,0.1,0
TB,9/28/83,5,,,,
TB,9/28/83,6,0.1,960,0.1,0
TB,9/28/83,7,0.1,960,0.1,0
TB,10/19/83,0,7.5,265,110,0.415
TB,10/19/83,1,6.6,275,5.26,0.019
TB,10/19/83,2,5.9,280,0.71,0.003
TB,10/19/83,3,6,284,0.11,0
TB,10/19/83,4,3.3,290,0.03,0
TB,10/19/83,5,0.1,290,0,0
TB,10/19/83,6,0,,,
TB,10/19/83,7,0,,,
TB,10/19/83,7,,,,
TB,11/14/83,0,4.3,82,54,0.659
TB,11/14/83,1,4.1,91,1.74,0.019
TB,11/14/83,2,4.1,88,0.16,0.002
TB,11/14/83,3,4,90,0,0
TB,11/14/83,3,,,,
TB,11/14/83,4,4,,,
TB,11/14/83,5,3.9,,,
TB,11/14/83,6,3.9,,,
TB,11/14/83,7,3.9,,,
TB,1/3/84,0,7.2,,,
TB,1/3/84,1,4.8,,,
TB,1/3/84,2,3.3,,,
TB,1/3/84,3,2.5,,,
TB,1/3/84,3,,,,
TB,1/3/84,4,1.8,,,
TB,1/3/84,5,0.4,,,
TB,1/3/84,6,0.3,,,
TB,1/3/84,7,0.2,,,
TB,2/28/84,0,5,,,
TB,2/28/84,0,,,,
TB,2/28/84,1,4.1,,,
TB,2/28/84,2,2.4,,,
TB,2/28/84,3,1,,,
TB,2/28/84,4,0.4,,,
TB,2/28/84,5,0.2,,,
TB,2/28/84,6,0.2,,,
TB,2/28/84,7,0.2,,,
TB,4/4/84,0,7.3,,,
TB,4/4/84,1,7.2,,,
TB,4/4/84,2,4.6,,,
TB,4/4/84,3,0.9,,,
TB,4/4/84,4,0.5,,,
TB,4/4/84,5,0.4,,,
TB,4/4/84,6,0.3,,,
TB,4/4/84,7,0.3,,,
TB,4/4/84,7,,,,
TB,5/8/84,0,9,380,260,0.684
TB,5/8/84,1,8.7,410,7.6,0.019
TB,5/8/84,2,5.3,398,0.72,0.002
TB,5/8/84,2,,,,
TB,5/8/84,3,4.8,430,0.1,0
TB,5/8/84,4,2.8,440,0.02,0
TB,5/8/84,5,0.3,435,0,0
TB,5/8/84,5,,,,
TB,5/8/84,6,0.2,,,
TB,5/8/84,7,0.2,,,
TB,5/22/84,0,8.6,640,220,0.344
TB,5/22/84,1,8.1,630,14.3,0.023
TB,5/22/84,2,4.7,620,1.2,0.002
TB,5/22/84,3,2.6,1500,0.65,0
TB,5/22/84,3,,,,
TB,5/22/84,4,0.6,1400,0.09,0
TB,5/22/84,5,0.6,1410,0.02,0
TB,5/22/84,6,0.5,480,0,0
TB,5/22/84,7,0.5,,,
TB,6/4/84,0,8,310,155,0.5
TB,6/4/84,1,6.2,305,8.4,0.028
TB,6/4/84,2,2.8,305,1.68,0.006
TB,6/4/84,2,,,,
TB,6/4/84,3,1.5,295,0.09,0
TB,6/4/84,3,,,,
TB,6/4/84,4,0.5,290,0.01,0
TB,6/4/84,5,0.2,278,0,0
TB,6/4/84,6,0.2,,,
TB,6/4/84,7,0.2,,,
TB,6/19/84,0,8.6,497,254,0.511
TB,6/19/84,1,5.4,419,6.61,0.016
TB,6/19/84,2,2.2,419,0.97,0.002
TB,6/19/84,3,0.4,399,0.13,0
TB,6/19/84,3,,,,
TB,6/19/84,4,0.4,391,0.02,0
TB,6/19/84,5,0.3,387,0,0
TB,6/19/84,6,0.3,,,
TB,6/19/84,7,0.3,,,
TB,7/2/84,0,8.3,1510,809,0.536
TB,7/2/84,1,6.8,1600,102,0.064
TB,7/2/84,2,0.7,1640,7.99,0.005
TB,7/2/84,3,0.3,1660,1.4,0.001
TB,7/2/84,3,,,,
TB,7/2/84,4,0.3,1675,0.86,0.001
TB,7/2/84,5,0.3,719,0.48,0.001
TB,7/2/84,6,0.3,1990,0.1,0
TB,7/2/84,7,0.3,1860,0.08,0
TB,7/2/84,7,,,,
TB,7/17/84,0,7.7,670,410,0.612
TB,7/17/84,1,7.4,1430,73.4,0.051
TB,7/17/84,2,0.2,719,2.66,0.004
TB,7/17/84,2,,,,
TB,7/17/84,3,0.1,1400,1.06,0.001
TB,7/17/84,4,0.1,724,0.25,0
TB,7/17/84,5,0.1,1430,0.12,0
TB,7/17/84,6,0.1,1360,0.05,0
TB,7/17/84,7,0.1,623,0,0
TB,8/1/84,0,8.3,1560,925,0.593
TB,8/1/84,0,,,,
TB,8/1/84,1,8.1,1570,106,0.068
TB,8/1/84,2,0.2,1600,8.68,0.005
TB,8/1/84,2,,,,
TB,8/1/84,3,0.2,1590,1.36,0.001
TB,8/1/84,4,0.2,1560,0.23,0
TB,8/1/84,5,0.2,1510,0.1,0
TB,8/1/84,6,0.2,1570,0.04,0
TB,8/1/84,7,0.2,1550,0,0
TB,8/15/84,0,7.8,1150,800,0.696
TB,8/15/84,0,,,,
TB,8/15/84,1,6.9,1150,87,0.076
TB,8/15/84,2,0.3,1150,11.5,0.01
TB,8/15/84,3,0.2,900,1.5,0.002
TB,8/15/84,3,,,,
TB,8/15/84,4,0.2,1150,0.55,0
TB,8/15/84,5,0.2,1100,0.22,0
TB,8/15/84,6,0.2,1125,0.11,0
TB,8/15/84,7,0.2,1150,0.06,0
TB,9/6/84,0,7.8,1320,940,0.712
TB,9/6/84,1,7.1,1410,78,0.055
TB,9/6/84,2,5.4,1410,13.5,0.01
TB,9/6/84,3,0.3,1370,0.31,0
TB,9/6/84,3,,,,
TB,9/6/84,4,0.2,1310,0.06,0
TB,9/6/84,5,0.2,1260,0.03,0
TB,9/6/84,6,0.2,1300,0,0
TB,9/6/84,7,0.2,,,
TB,9/27/84,0,7.8,330,210,0.636
TB,9/27/84,1,6.3,420,25.5,0.061
