lakeid,sampledate,depth,chlor,phaeo
TB,7/15/81,0,60.3,
TB,7/15/81,2,185.6,
TB,7/15/81,3,109.7,
TB,7/15/81,5,42.9,
TB,7/15/81,7,25.3,
TB,7/29/81,0,27.7,
TB,7/29/81,2,158.1,
TB,7/29/81,3,116.3,
TB,7/29/81,5,39.5,
TB,7/29/81,8,29.6,
TB,8/12/81,0,30.7,
TB,8/12/81,2,77.9,
TB,8/12/81,3,145.7,
TB,8/12/81,5,47.7,
TB,8/12/81,7,108.6,
TB,8/27/81,0,21.4,
TB,8/27/81,2,65.9,
TB,8/27/81,3,122.7,
TB,8/27/81,5,53.7,
TB,8/27/81,7,26.6,
TB,9/14/81,0,21.3,
TB,9/14/81,2,23,
TB,9/14/81,3,151.4,
TB,9/14/81,5,58.6,
TB,9/14/81,7,30.1,
TB,9/26/81,0,10.2,
TB,9/26/81,2,109.2,
TB,9/26/81,3,64.7,
TB,9/26/81,5,55.2,
TB,9/26/81,7,31.8,
TB,10/23/81,0,18.7,
TB,10/23/81,2,18.3,
TB,10/23/81,3,17,
TB,10/23/81,5,15.4,
TB,10/23/81,6.5,26,
TB,1/27/82,0,7.3,
TB,1/27/82,2,7.4,
TB,1/27/82,3,6.5,
TB,1/27/82,5,28.2,
TB,1/27/82,7,64.2,
TB,3/3/82,0,9.7,
TB,3/3/82,2,7.4,
TB,3/3/82,3,26.2,
TB,3/3/82,5,3.7,
TB,3/3/82,7,45.1,
TB,4/6/82,0,1.2,
TB,4/6/82,2,0.7,
TB,4/6/82,3,1.2,
TB,4/6/82,5,0,
TB,4/6/82,7,0.4,
TB,5/12/82,0,9.8,
TB,5/12/82,3,5,
TB,5/12/82,5,3.3,
TB,5/12/82,7,2.8,
TB,5/24/82,0,4.6,
TB,5/24/82,2,32.1,
TB,5/24/82,3,8.2,
TB,5/24/82,5,2.8,
TB,5/24/82,7,2.9,
TB,6/7/82,0,10.3,
TB,6/7/82,2,91.6,
TB,6/7/82,3,16.8,
TB,6/7/82,5,7.6,
TB,6/7/82,7,6.5,
TB,6/21/82,0,5.5,2.8
TB,6/21/82,2,160.4,46.2
TB,6/21/82,4,8.4,6
TB,6/21/82,6,3.3,4.5
TB,7/7/82,0,7.7,0.2
TB,7/7/82,2,42,2.3
TB,7/7/82,3,19.7,16.5
TB,7/7/82,5,11.7,12.2
TB,7/7/82,7,6,6
TB,7/22/82,0,2.8,0.6
TB,7/22/82,2,39.5,15.5
TB,7/22/82,3,10.4,26.2
TB,7/22/82,5,3.3,24.1
TB,7/22/82,7,4.8,3.6
TB,8/4/82,0,28.8,-1.4
TB,8/4/82,2,105,43.9
TB,8/4/82,3,9.3,46.3
TB,8/4/82,5,14.6,24.5
TB,8/4/82,7,5.6,7.7
TB,8/19/82,0,13.2,-0.1
TB,8/19/82,2,50.9,8.1
TB,8/19/82,5,14.2,42.8
TB,8/19/82,7,9.4,14.3
TB,9/7/82,0,3.1,0.3
TB,9/7/82,2,7.7,2.2
TB,9/7/82,3,28.2,62.5
TB,9/7/82,5,10.3,37.7
TB,9/7/82,7,4.3,16.8
TB,9/20/82,0,32.6,-4.8
TB,9/20/82,2,3.3,1.7
TB,9/20/82,3,0,169.2
TB,9/20/82,5,24.5,50.9
TB,9/20/82,7,14.2,21.3
