Depth_Target,DateTime_Start,DateTime_End,Depthm,TempC,SpConduScm,ChlorophyllRFU,ChlorophyllugL,BGAPCRFU,BGAPCugL,TurbidityFNU,fDOMRFU,fDOMQSU,ODOsat,ODOmgL,pH,Presspsia
0,3/9/2019 13:05,3/9/2019 13:06,0.53305,0.778433333,116.045,29.4275,3.786666667,65.69233333,184.3495,0.359833333,6.170833333,12.30366667,85.25666667,12.19083333,7.1305,0.758083333
1,3/9/2019 13:07,3/9/2019 13:08,1.5325,1.63995,114.1466667,35.4015,4.5685,68.494,192.0711667,0.27,6.253833333,12.4805,82.26166667,11.48666667,7.013333333,2.179683333
2,3/9/2019 13:09,3/9/2019 13:10,2.5352,1.939166667,113.2833333,24.62366667,3.1575,67.50516667,189.345,0.229,6.247333333,12.46616667,80.66,11.17166667,6.961166667,3.6058
3,3/9/2019 13:11,3/9/2019 13:12,3.504866667,2.198366667,112.135,19.6165,2.501333333,64.71133333,181.6441667,0.1805,6.245333333,12.46266667,77.23166667,10.62116667,6.910666667,4.9849
4,3/9/2019 13:13,3/9/2019 13:14,4.446066667,2.282783333,111.7,18.59316667,2.367666667,63.62283333,178.6426667,0.158166667,6.239333333,12.4475,75.635,10.37716667,6.880666667,6.32355
5,3/9/2019 13:15,3/9/2019 13:16,5.449933333,2.318433333,111.51,18.5505,2.361833333,62.08,174.3903333,0.1635,6.231833333,12.4335,74.255,10.17666667,6.859333333,7.751283333
6,3/9/2019 13:17,3/9/2019 13:18,6.457583333,2.380133333,110.9933333,16.81666667,2.134666667,62.54166667,175.6641667,0.169333333,6.2405,12.45116667,71.85666667,9.832333333,6.8245,9.184466667
7,3/9/2019 13:19,3/9/2019 13:20,7.424433333,2.40515,111.1533333,16.576,2.103,62.05483333,174.3193333,0.165333333,6.241166667,12.45366667,71.6,9.790666667,6.82,10.55966667
8,3/9/2019 13:21,3/9/2019 13:22,8.427533333,2.436983333,111.6,16.25216667,2.060166667,61.2425,172.0835,0.201666667,6.2305,12.43133333,71.59,9.78,6.81,11.9864
9,3/9/2019 13:23,3/9/2019 13:24,9.453483333,2.478983333,112.2966667,17.0295,2.162333333,61.6215,173.1281667,0.202666667,6.221666667,12.41266667,71.7,9.789,6.8,13.44566667
10,3/9/2019 13:25,3/9/2019 13:26,10.41515,2.52875,112.8,17.67016667,2.246833333,63.73916667,178.9643333,0.193333333,6.202,12.3705,70.66166667,9.630833333,6.78,14.81345
