lakeid,sampledate,depth,o2,deck,light,frlight
CR,4/23/81,1,,,,
CR,4/23/81,2,,,,
CR,4/23/81,3,,,,
CR,4/23/81,4,,,,
CR,4/23/81,5,,,,
CR,4/23/81,6,,,,
CR,4/23/81,7,,,,
CR,4/23/81,8,,,,
CR,4/23/81,9,,,,
CR,4/23/81,10,,,,
CR,4/23/81,11,,,,
CR,4/23/81,12,,,,
CR,4/23/81,13,,,,
CR,4/23/81,14,,,,
CR,4/23/81,15,,,,
CR,4/23/81,16,,,,
CR,4/23/81,17,,,,
CR,5/6/81,0,,,,
CR,5/6/81,1,11.5,,,
CR,5/6/81,2,11.6,,,
CR,5/6/81,3,11.5,,,
CR,5/6/81,4,11.5,,,
CR,5/6/81,5,11.5,,,
CR,5/6/81,6,11.5,,,
CR,5/6/81,7,11.5,,,
CR,5/6/81,8,11.6,,,
CR,5/6/81,9,11.8,,,
CR,5/6/81,10,12,,,
CR,5/6/81,11,12.2,,,
CR,5/6/81,12,12.2,,,
CR,5/6/81,13,12.2,,,
CR,5/6/81,14,12.2,,,
CR,5/6/81,15,12.1,,,
CR,5/6/81,16,12.1,,,
CR,5/6/81,17,11.9,,,
CR,5/6/81,18,11.9,,,
CR,5/6/81,19,11.8,,,
CR,5/6/81,19.5,,,,
CR,5/20/81,0,10,,,
CR,5/20/81,1,,,,
CR,5/20/81,2,,,,
CR,5/20/81,3,10,,,
CR,5/20/81,4,,,,
CR,5/20/81,5,10.6,,,
CR,5/20/81,6,,,,
CR,5/20/81,7,,,,
CR,5/20/81,8,11.1,,,
CR,5/20/81,9,,,,
CR,5/20/81,10,11.4,,,
CR,5/20/81,11,,,,
CR,5/20/81,12,11.9,,,
CR,5/20/81,13,,,,
CR,5/20/81,14,,,,
CR,5/20/81,15,11.9,,,
CR,5/20/81,16,,,,
CR,5/20/81,17,,,,
CR,5/20/81,18,,,,
CR,5/20/81,19,11.6,,,
CR,5/20/81,20,,,,
CR,5/20/81,20.2,,,,
CR,6/4/81,0,8.5,,,
CR,6/4/81,1,8.5,,,
CR,6/4/81,2,8.6,,,
CR,6/4/81,3,8.6,,,
CR,6/4/81,4,8.7,,,
CR,6/4/81,5,10,,,
CR,6/4/81,6,10.4,,,
CR,6/4/81,7,10.5,,,
CR,6/4/81,8,10.6,,,
CR,6/4/81,9,10.6,,,
CR,6/4/81,10,10.7,,,
CR,6/4/81,11,11,,,
CR,6/4/81,12,11.1,,,
CR,6/4/81,13,11.2,,,
CR,6/4/81,14,11.3,,,
CR,6/4/81,15,11.3,,,
CR,6/4/81,16,11.2,,,
CR,6/4/81,17,11.2,,,
CR,6/4/81,18,11,,,
CR,6/4/81,19,11,,,
CR,6/16/81,0,,450,300,0.667
CR,6/16/81,1,,,240,
CR,6/16/81,2,,,139,
CR,6/16/81,3,,,123,
CR,6/16/81,4,,,100.4,
CR,6/16/81,5,,,82.5,
CR,6/16/81,6,,,68.1,
CR,6/16/81,7,,,57.4,
CR,6/16/81,8,,,47.9,
CR,6/16/81,9,,,40,
CR,6/16/81,10,,,34,
CR,6/16/81,11,,,28.4,
CR,6/16/81,12,,,23.6,
CR,6/16/81,13,,,19.5,
CR,6/16/81,14,,,16,
CR,6/16/81,15,,,12.8,
CR,6/16/81,16,,,10,
CR,6/16/81,17,,,8.2,
CR,6/16/81,18,,,6.5,
CR,6/16/81,18.5,,,,
CR,7/1/81,0,7.5,,690,
CR,7/1/81,1,7.5,,550,
CR,7/1/81,2,7.5,,450,
CR,7/1/81,3,7.5,,375,
CR,7/1/81,4,7.5,,325,
CR,7/1/81,5,7.6,,275,
CR,7/1/81,6,7.8,,225,
CR,7/1/81,7,9,,205,
CR,7/1/81,8,9.5,,170,
CR,7/1/81,9,9.6,,145,
CR,7/1/81,10,9.6,,128,
CR,7/1/81,11,9.7,,115,
CR,7/1/81,12,9.8,,95,
CR,7/1/81,13,10,,85,
CR,7/1/81,14,10,,72,
CR,7/1/81,15,10,,60.1,
CR,7/1/81,16,9.8,,49,
CR,7/1/81,17,9.5,,40.1,
CR,7/1/81,18,9.1,,32,
CR,7/1/81,19,9.1,,23,
CR,7/1/81,20,,,18.5,
CR,7/14/81,0,,195,145,0.744
CR,7/14/81,1,,,105,
CR,7/14/81,2,,,85,
CR,7/14/81,3,,,76,
CR,7/14/81,4,,,69,
CR,7/14/81,5,,,59,
CR,7/14/81,6,,,48,
CR,7/14/81,7,,,40.5,
CR,7/14/81,8,,,35,
CR,7/14/81,9,,,29,
CR,7/14/81,10,,,24.5,
CR,7/14/81,11,,,21,
CR,7/14/81,12,,,17.8,
CR,7/14/81,13,,,15.2,
CR,7/14/81,14,,,12.8,
CR,7/14/81,15,,,10.4,
CR,7/14/81,16,,,8.3,
CR,7/14/81,17,,,6.3,
CR,7/14/81,18,,,4.9,
CR,7/14/81,19,,,3.8,
CR,7/14/81,20,,,2.9,
CR,7/14/81,20.5,,,,
CR,7/27/81,0,9,520,320,0.615
CR,7/27/81,1,8.9,,180,
CR,7/27/81,2,9,,170,
CR,7/27/81,3,9,,155,
CR,7/27/81,4,9,,135,
CR,7/27/81,5,9,,110,
CR,7/27/81,6,9,,97,
CR,7/27/81,7,9.3,,83,
CR,7/27/81,8,11.4,,69,
CR,7/27/81,9,11.4,,58,
CR,7/27/81,10,11.4,,44,
CR,7/27/81,11,11.5,,37,
CR,7/27/81,12,11.7,,32,
CR,7/27/81,13,12,,26,
CR,7/27/81,14,12,,20,
CR,7/27/81,15,12.1,,17.5,
CR,7/27/81,16,11.7,,14,
CR,7/27/81,17,11.1,,11,
CR,7/27/81,18,10.3,,9,
CR,7/27/81,19,8.8,,6.3,
CR,7/27/81,20,6.7,,4.7,
CR,7/27/81,20.1,,,1.8,
CR,8/12/81,0,,360,235,0.653
CR,8/12/81,1,,,145,
CR,8/12/81,2,,,125,
CR,8/12/81,3,,,96,
CR,8/12/81,4,,,68,
CR,8/12/81,5,,,56,
CR,8/12/81,6,,,47,
CR,8/12/81,7,,,39,
CR,8/12/81,8,,,29,
CR,8/12/81,9,,,28,
CR,8/12/81,10,,,23.5,
CR,8/12/81,11,,,19.5,
CR,8/12/81,12,,,15.5,
CR,8/12/81,13,,,12,
CR,8/12/81,14,,,9.3,
CR,8/12/81,15,,,7.4,
CR,8/12/81,16,,,5.5,
CR,8/12/81,17,,,4,
CR,8/12/81,18,,,2.8,
CR,8/12/81,19,,,0,
CR,8/12/81,20,,,0,
CR,8/25/81,0,9,370,195,0.527
CR,8/25/81,1,9.1,,105,
CR,8/25/81,2,9.1,,105,
CR,8/25/81,3,9,,92,
CR,8/25/81,4,9.1,,89,
CR,8/25/81,5,9.1,,77,
CR,8/25/81,6,9.1,,69,
CR,8/25/81,7,9.1,,59,
CR,8/25/81,8,9.5,,52,
CR,8/25/81,9,11.8,,46,
CR,8/25/81,10,12,,39,
CR,8/25/81,11,11.9,,32,
CR,8/25/81,12,11.8,,26,
CR,8/25/81,13,12.1,,20.5,
CR,8/25/81,14,12.3,,16,
CR,8/25/81,15,12.1,,12.6,
CR,8/25/81,16,10.4,,9.2,
CR,8/25/81,17,9.4,,6.5,
CR,8/25/81,18,8.2,,4.6,
CR,8/25/81,19,7.2,,3.1,
CR,8/25/81,20,,,0.4,
CR,9/10/81,0,,542,335,0.618
CR,9/10/81,1,,,235,
CR,9/10/81,2,,,208,
CR,9/10/81,3,,,178,
CR,9/10/81,4,,,149,
CR,9/10/81,5,,,124,
CR,9/10/81,6,,,91.5,
CR,9/10/81,7,,,88.2,
CR,9/10/81,8,,,69.5,
CR,9/10/81,9,,,60.3,
CR,9/10/81,10,,,41.8,
CR,9/10/81,11,,,40,
CR,9/10/81,12,,,27,
CR,9/10/81,13,,,24.5,
CR,9/10/81,14,,,18.4,
CR,9/10/81,15,,,14.7,
CR,9/10/81,16,,,10.4,
CR,9/10/81,17,,,7.3,
CR,9/10/81,18,,,5.2,
CR,9/10/81,19,,,2.1,
CR,9/10/81,19.6,,,0.7,
CR,9/24/81,0,,179,90.3,0.504
CR,9/24/81,1,,,48.7,
CR,9/24/81,2,,,48.2,
CR,9/24/81,3,,,43.8,
CR,9/24/81,4,,,39.3,
CR,9/24/81,5,,,34.4,
CR,9/24/81,6,,,29.1,
CR,9/24/81,7,,,25.7,
CR,9/24/81,8,,,21.7,
CR,9/24/81,9,,,18.6,
CR,9/24/81,10,,,16.6,
CR,9/24/81,11,,,14.5,
CR,9/24/81,12,,,12.9,
CR,9/24/81,13,,,11.3,
CR,9/24/81,14,,,8.9,
CR,9/24/81,15,,,6.3,
CR,9/24/81,16,,,4.4,
CR,9/24/81,17,,,2.1,
CR,9/24/81,18,,,1.5,
CR,9/24/81,19,,,0.8,
CR,9/24/81,19.5,,,0,
CR,10/19/81,0,10.1,178,,
CR,10/19/81,1,10,,60.1,
CR,10/19/81,2,10,,56,
CR,10/19/81,3,10,,52.8,
