lakeid,sampledate,depth,chlor,phaeo
CR,7/1/81,0,2.8,
CR,7/1/81,3,5.6,
CR,7/1/81,5,5,
CR,7/1/81,8,12.5,
CR,7/1/81,10,2.4,
CR,7/1/81,12,2.4,
CR,7/1/81,15,12,
CR,7/1/81,19,4.7,
CR,7/14/81,0,2.2,
CR,7/14/81,3,2.1,
CR,7/14/81,5,5.6,
CR,7/14/81,8,2.2,
CR,7/14/81,10,2.6,
CR,7/14/81,12,9.1,
CR,7/14/81,15,4.8,
CR,7/14/81,19,2.4,
CR,7/27/81,0,0.8,
CR,7/27/81,3,0.9,
CR,7/27/81,5,7.2,
CR,7/27/81,8,2.6,
CR,7/27/81,10,0.7,
CR,7/27/81,12,0.8,
CR,7/27/81,15,0.8,
CR,7/27/81,19,3,
CR,8/12/81,0,10.4,
CR,8/12/81,3,2.6,
CR,8/12/81,5,8.2,
CR,8/12/81,8,9.3,
CR,8/12/81,10,6.9,
CR,8/12/81,12,8.6,
CR,8/12/81,15,8.6,
CR,8/12/81,19,8.4,
CR,8/25/81,0,1.7,
CR,8/25/81,3,2.1,
CR,8/25/81,5,1.7,
CR,8/25/81,8,1.7,
CR,8/25/81,10,2.1,
CR,8/25/81,12,1.3,
CR,8/25/81,15,3,
CR,8/25/81,19,10.4,
CR,9/10/81,0,2.6,
CR,9/10/81,3,2.1,
CR,9/10/81,5,2.1,
CR,9/10/81,8,2.4,
CR,9/10/81,10,2.2,
CR,9/10/81,12,3,
CR,9/10/81,15,2.2,
CR,9/10/81,19,6.9,
CR,9/24/81,0,1.6,
CR,9/24/81,3,1.3,
CR,9/24/81,5,1.3,
CR,9/24/81,8,1.6,
CR,9/24/81,10,1.3,
CR,9/24/81,12,1.8,
CR,9/24/81,15,3,
CR,9/24/81,19,9.3,
CR,10/19/81,0,4.3,
CR,10/19/81,3,5.8,
CR,10/19/81,5,6.1,
CR,10/19/81,8,7.2,
CR,10/19/81,10,5.6,
CR,10/19/81,12,5.8,
CR,10/19/81,15,5.1,
CR,10/19/81,19,6.5,
CR,12/1/81,0,2.9,
CR,12/1/81,3,2.9,
CR,12/1/81,5,2.9,
CR,12/1/81,8,2.9,
CR,12/1/81,10,3,
CR,12/1/81,12,3.1,
CR,12/1/81,15,2.8,
CR,12/1/81,19,3.1,
CR,1/22/82,0,2.4,
CR,1/22/82,3,2.4,
CR,1/22/82,5,2.8,
CR,1/22/82,8,3.9,
CR,1/22/82,10,3.7,
CR,1/22/82,12,2.4,
CR,1/22/82,15,1.7,
CR,1/22/82,19,1.8,
CR,3/1/82,0,0,
CR,3/1/82,3,0.4,
CR,3/1/82,5,0.7,
CR,3/1/82,8,1.1,
CR,3/1/82,10,1.6,
CR,3/1/82,12,0.7,
CR,3/1/82,15,0.3,
CR,3/1/82,19,0.3,
CR,4/8/82,0,0.3,
CR,4/8/82,3,1.7,
CR,4/8/82,5,2.4,
CR,4/8/82,8,3.3,
CR,4/8/82,10,2.9,
CR,4/8/82,12,3.3,
CR,4/8/82,15,2.9,
CR,4/8/82,19,1.4,
CR,5/10/82,0,4.8,
CR,5/10/82,3,4.4,
CR,5/10/82,5,5.4,
CR,5/10/82,8,4.6,
CR,5/10/82,10,4.4,
CR,5/10/82,12,4.4,
CR,5/10/82,15,6.3,
CR,5/10/82,19,12.5,
CR,5/27/82,0,1.4,
CR,5/27/82,3,1.7,
CR,5/27/82,5,14.6,
CR,5/27/82,8,3.1,
CR,5/27/82,10,5.4,
CR,5/27/82,12,10.3,
CR,5/27/82,15,10.8,
CR,5/27/82,19,31.2,
CR,6/7/82,0,1.6,
CR,6/7/82,3,1.7,
CR,6/7/82,5,2,
CR,6/7/82,8,3.3,
CR,6/7/82,10,2.5,
CR,6/7/82,12,3.4,
CR,6/7/82,15,12,
CR,6/7/82,19,19.6,
CR,6/24/82,0,0.9,-0.2
CR,6/24/82,3,1.2,0
CR,6/24/82,5,1.2,0
CR,6/24/82,8,1.1,0
CR,6/24/82,10,0.8,0
CR,6/24/82,12,2.1,0.2
CR,6/24/82,15,4.2,1
CR,6/24/82,19,4.8,2.1
CR,7/6/82,0,0.1,1.3
CR,7/6/82,3,1.1,0.4
CR,7/6/82,5,0.7,0.2
CR,7/6/82,8,0.8,0.1
CR,7/6/82,10,0.8,0.3
CR,7/6/82,12,0.9,0.2
CR,7/6/82,15,1.3,0.4
CR,7/6/82,18,2.1,0.8
CR,7/19/82,0,0.7,0.1
CR,7/19/82,3,0.7,0
CR,7/19/82,5,0.5,0.1
CR,7/19/82,8,0.5,0.2
CR,7/19/82,10,0.5,0.1
CR,7/19/82,12,0.8,0.1
CR,7/19/82,15,1.3,0.4
CR,7/19/82,19,2.6,0.8
CR,8/3/82,0,1.3,0.2
CR,8/3/82,3,1.4,0.1
CR,8/3/82,5,1.4,0.1
CR,8/3/82,8,1.2,0.3
CR,8/3/82,10,1.1,0.6
CR,8/3/82,12,2,0.2
CR,8/3/82,15,2.5,0.3
CR,8/3/82,19,1.8,0.9
CR,8/16/82,0,1.3,0
CR,8/16/82,3,1.1,0.3
CR,8/16/82,5,1.1,0.4
CR,8/16/82,8,2.1,-0.1
CR,8/16/82,10,1.2,0.6
CR,8/16/82,12,1.7,0.5
CR,8/16/82,15,2.5,0.8
CR,8/16/82,19,1.4,1.7
CR,9/9/82,0,1.6,0.1
CR,9/9/82,3,1.6,0.1
CR,9/9/82,5,1.8,0.1
CR,9/9/82,8,2.4,0.2
CR,9/9/82,10,2.6,0
CR,9/9/82,12,3.8,0.4
CR,9/9/82,15,4.2,1.6
CR,9/9/82,19,2.1,2
CR,9/22/82,0,1.4,0.2
CR,9/22/82,3,2.4,-0.2
CR,9/22/82,8,1.8,0.1
CR,9/22/82,10,2.1,-0.2
CR,9/22/82,12,2,0.1
CR,9/22/82,15,3.1,1.3
CR,9/22/82,19,1.1,2.5
CR,10/5/82,5,2,-0.2
CR,10/5/82,8,2.1,0.9
CR,10/5/82,10,2.6,0.5
CR,10/5/82,13,3.1,0.3
CR,10/5/82,14,2.9,1.3
CR,10/5/82,15,3.9,0.9
CR,10/5/82,16,2.8,1.3
CR,10/5/82,17,1.4,1.7
CR,10/5/82,19,0.4,1.9
CR,10/21/82,5,3.3,-0.1
CR,10/21/82,8,2.1,0.8
CR,10/21/82,10,2.9,0.4
CR,10/21/82,12,2.8,0.3
CR,10/21/82,14,3.4,-0.3
CR,10/21/82,15,2.8,0.1
CR,10/21/82,16,2.1,0.8
CR,10/21/82,17,2.5,0.6
CR,10/21/82,19,1.7,0.9
CR,11/11/82,0,2.8,0.4
CR,11/11/82,3,2.9,0.5
CR,11/11/82,5,3.3,0
CR,11/11/82,8,2.4,1
CR,11/11/82,10,3.5,-0.2
CR,11/11/82,12,2.5,0.8
CR,11/11/82,15,3.4,-0.1
CR,11/11/82,19,2.8,0.5
CR,12/3/82,0,2,0.3
CR,12/3/82,3,1.7,0.6
CR,12/3/82,5,2.4,0.1
CR,12/3/82,8,1.7,0.6
CR,12/3/82,10,2.1,0.3
CR,12/3/82,12,2.1,0.1
CR,12/3/82,15,1.8,0.3
CR,12/3/82,19,1.6,0.5
CR,1/14/83,0,0.1,0.4
CR,1/14/83,3,0.9,0.7
CR,1/14/83,5,0.7,0.8
CR,1/14/83,8,0.1,0.9
CR,1/14/83,10,0.4,0.5
CR,1/14/83,12,0.1,0.5
CR,1/14/83,15,0.3,0.4
CR,1/14/83,19,0.3,0.9
CR,2/21/83,0,0.1,-0.2
CR,2/21/83,3,0.3,0
CR,2/21/83,5,0.3,0.1
CR,2/21/83,8,0.1,0.2
CR,2/21/83,10,0.1,0.3
CR,2/21/83,12,0,0.4
CR,2/21/83,15,0.1,0.5
CR,2/21/83,19,0.3,0.7
CR,3/30/83,1,0.4,0.3
CR,3/30/83,3,1.4,2.6
CR,3/30/83,5,2.1,3.3
CR,3/30/83,8,0.8,3.5
CR,3/30/83,10,0.7,2.1
CR,3/30/83,12,0.1,0.7
CR,3/30/83,15,0.3,1.7
CR,3/30/83,19,0,1.7
CR,5/12/83,0,1.2,-0.1
CR,5/12/83,3,1.3,-0.3
CR,5/12/83,5,1.8,-0.1
CR,5/12/83,8,2.8,-0.2
CR,5/12/83,10,3.8,-0.2
CR,5/12/83,12,5.2,0.2
CR,5/12/83,15,9.9,-0.9
CR,5/12/83,19,9.5,0
CR,5/23/83,0,1.3,-0.2
CR,5/23/83,3,1.3,-0.2
CR,5/23/83,5,1.6,-0.1
CR,5/23/83,8,2.1,-0.1
CR,5/23/83,10,2.4,0.1
CR,5/23/83,12,4.7,0.2
CR,5/23/83,15,9,0.3
CR,5/23/83,19,13.2,-0.5
CR,6/6/83,0,3.1,-2.9
CR,6/6/83,3,0.8,0
CR,6/6/83,5,0.7,-0.1
CR,6/6/83,8,0.9,0
CR,6/6/83,10,1.4,-0.3
CR,6/6/83,12,1.8,0.2
CR,6/6/83,15,4.4,0.4
CR,6/6/83,19,6.5,1.7
CR,6/21/83,0,0.4,0.3
CR,6/21/83,3,0.4,0.4
CR,6/21/83,5,0.4,0.2
CR,6/21/83,8,0.8,0
CR,6/21/83,10,1.2,-0.4
CR,6/21/83,12,0.3,0.7
CR,6/21/83,15,0.8,1
CR,6/21/83,17,3.4,0.6
CR,6/21/83,19,5,0.9
CR,7/7/83,0,0.9,-0.4
CR,7/7/83,3,0.5,0
CR,7/7/83,5,0.5,0.3
CR,7/7/83,8,0.5,0.1
CR,7/7/83,10,0.5,-0.1
CR,7/7/83,12,1.2,-0.1
CR,7/7/83,15,1.1,0.1
CR,7/7/83,17,2,-0.2
CR,7/7/83,19,1.2,0.3
CR,7/20/83,0,0.9,0.1
CR,7/20/83,3,0.3,1.5
CR,7/20/83,5,0.7,0
CR,7/20/83,8,0.8,0.1
CR,7/20/83,10,1.3,0
CR,7/20/83,12,0.8,0.7
CR,7/20/83,15,1.6,0.6
CR,8/2/83,0,0.8,0.4
CR,8/2/83,3,0.9,-0.1
CR,8/2/83,5,0.8,0.2
CR,8/2/83,8,1.6,0.2
CR,8/2/83,10,2.9,-0.1
CR,8/2/83,12,2.5,1.1
CR,8/2/83,15,2.8,0
CR,8/2/83,19,0.7,0.7
CR,8/16/83,0,1.3,-0.2
CR,8/16/83,3,1.3,-0.1
CR,8/16/83,8,1.3,0
CR,8/16/83,10,1.3,0.7
CR,8/16/83,12,3.5,-0.2
CR,8/16/83,15,3,1.1
CR,8/16/83,19,0,3
CR,9/9/83,0,1.7,0.2
CR,9/9/83,3,1.8,0
CR,9/9/83,5,1.6,0
CR,9/9/83,8,1.8,-0.1
CR,9/9/83,10,1.1,0.4
CR,9/9/83,11,1.6,0.2
CR,9/9/83,12,1.6,0.4
CR,9/9/83,15,3.9,6.5
CR,9/9/83,19,4.2,2
CR,9/26/83,0,1.4,-0.3
CR,9/26/83,3,1.1,0.1
CR,9/26/83,5,1.2,-0.2
CR,9/26/83,8,1.3,0.2
CR,9/26/83,10,2,-0.2
CR,9/26/83,12,2,0.2
CR,9/26/83,13,1.7,3.2
CR,9/26/83,15,7.4,1.2
CR,9/26/83,19,2.4,2.4
CR,10/19/83,0,2.4,0.4
CR,10/19/83,3,3,0.1
CR,10/19/83,5,5.5,-3.3
CR,10/19/83,8,2.9,-0.1
CR,10/19/83,10,2.1,0.6
CR,10/19/83,12,2.9,0.3
CR,10/19/83,14,2.9,0.1
CR,10/19/83,15,2.9,0.1
CR,10/19/83,16,2.6,-0.2
CR,10/19/83,19,2.2,-1.4
CR,11/15/83,0,2.5,0.2
CR,11/15/83,3,2.8,-0.1
CR,11/15/83,5,2.6,0.2
CR,11/15/83,8,3,0.1
CR,11/15/83,10,2.2,0.3
CR,11/15/83,12,2.8,0.1
CR,11/15/83,15,2.8,0.2
CR,11/15/83,19,2.5,-0.2
CR,11/29/83,0,3,-0.2
CR,11/29/83,3,2,0.5
CR,11/29/83,5,2.6,0
CR,11/29/83,8,3.1,-0.2
CR,1/5/84,0,0.3,0.1
CR,1/5/84,3,0.9,0.3
CR,1/5/84,5,0.7,0.2
CR,1/5/84,8,0.8,0.2
CR,1/5/84,10,0.9,0.2
CR,1/5/84,12,0.4,0.4
CR,1/5/84,15,0.4,0.9
CR,1/5/84,19,1.4,0.9
CR,2/29/84,0,0.5,0
CR,2/29/84,3,1.2,-0.1
CR,2/29/84,5,1.2,0.3
CR,2/29/84,10,1.7,0.1
CR,2/29/84,12,1.8,0.3
CR,2/29/84,15,0.5,0.9
CR,2/29/84,18,1.2,0.6
CR,2/29/84,19,0,1.3
CR,4/12/84,0,0.5,-0.1
CR,4/12/84,3,1.6,0.2
CR,4/12/84,5,1.8,0.1
CR,4/12/84,8,2.1,0
CR,4/12/84,10,2.2,0
CR,4/12/84,12,3.7,0
CR,4/12/84,15,6.5,0.3
CR,4/12/84,15,5.2,1.4
