lakeid,sampledate,avsnow,sdsnow,totice,whiteice
SP,1/6/84,2.7,1.1,36.2,11.8
SP,1/9/95,2.1,,30,2
SP,1/11/85,8.8,1,28.7,3
SP,1/12/89,18.3,,33,0
SP,1/12/94,6.8,,30,10
SP,1/12/98,17.5,,26,0
SP,1/12/04,10,,37,8
SP,1/12/10,5.7,,32,17
SP,1/12/12,9,,29,1
SP,1/13/83,24,0.8,27,1
SP,1/13/93,19,,36.5,6
SP,1/14/86,17.5,1.8,29,6
SP,1/14/87,3.5,0.7,24,0
SP,1/14/92,11.3,,30,7
SP,1/14/97,11,,37,26
SP,1/14/13,0,,21,1
SP,1/14/15,24.1,,23,10
SP,1/15/03,1,,45,0
SP,1/15/07,6.8,,29,8
SP,1/16/91,8.8,,38,5
SP,1/16/02,5.1,,16.5,4
SP,1/17/90,15.9,,36,
SP,1/17/06,12.5,,29,6
SP,1/17/08,11.1,,33,8
SP,1/17/17,16.5,,26,9
SP,1/18/99,22.9,,26,0
SP,1/18/00,18.9,,27.5,0.5
SP,1/18/11,16.9,,31,10
SP,1/19/88,2.8,1.6,35,16
SP,1/19/05,11.2,,43,0
SP,1/20/82,4.3,3,43,22.5
SP,1/20/09,17.8,,45,6
SP,1/21/16,6.5,,22,5
SP,1/22/01,20.7,,32,10
SP,1/24/96,11,,51,22
SP,1/30/14,32.1,,38,7
SP,2/11/10,9.4,,46,14
SP,2/13/06,23.6,,33,12
SP,2/14/11,16.9,,35,11
SP,2/17/97,24.5,,40,26
SP,2/17/14,22,,50,32
SP,2/18/04,29.7,,42,7
SP,2/19/90,15.9,,51,10
SP,2/19/91,8.6,,55,5
SP,2/20/95,15.5,,42,1
SP,2/20/07,8.7,,42,5
SP,2/21/94,0,,39,6
SP,2/21/96,11.7,,53,26
SP,2/21/12,9.4,,41,11
SP,2/22/00,27.6,,36,2
SP,2/22/17,0,,32,9
SP,2/23/89,7.9,,58.5,17.5
SP,2/23/98,0,,35,11
SP,2/23/99,9,,41,14
SP,2/24/82,13.4,2.1,49.2,29.3
SP,2/24/83,1,,29,1
SP,2/24/87,13.4,1.8,41,0
SP,2/24/09,3.6,,55,9
SP,2/24/15,12.2,,43,20
SP,2/25/05,10,,54,5
SP,2/25/13,21,,45,16
SP,2/27/84,1,1.8,47.5,15
SP,2/27/85,11.7,3.2,48,4
SP,2/27/86,17.7,2.8,51,34
SP,2/28/01,15.7,,44,23
SP,2/28/02,1.6,,38,11
SP,2/29/88,10.4,5.1,54,51
SP,3/1/93,2.7,,60.5,21.5
SP,3/1/92,22.5,,41,7
SP,3/3/08,18.9,,48,13
SP,3/6/03,17.5,,61,0
SP,3/7/16,0.3,,43,14
SP,3/18/98,8.5,,37,8
SP,3/20/09,0,,56,5
SP,3/21/11,1.4,,43,7
SP,3/22/93,9.1,,56,23
SP,3/24/87,0,,34,34
SP,3/24/95,1,,34,0
SP,3/24/99,1,,53,17
SP,3/24/14,10.8,,72,45
SP,3/24/15,0,,38,12
SP,3/25/91,0,,53,3
SP,3/25/97,31,,44,31
SP,3/26/85,0.5,0.5,56,12
SP,3/27/17,0,,31,1
SP,3/28/83,9.5,1.3,39,8
SP,3/28/90,0,,39,4
SP,3/27/92,0.4,,52,10
SP,3/28/94,15.5,,44,0
SP,3/28/07,0,,27,0
SP,3/27/08,16.1,,50,6
SP,3/29/89,,,50,5
SP,3/29/13,7.2,,59,24
SP,3/31/06,0,,41,21
SP,4/1/02,15,,54,21
SP,4/1/96,18.2,,70,32
SP,4/2/03,7.5,,48,0
SP,4/3/01,2.2,,45,32
SP,4/5/82,4,1.8,51,24.7
SP,4/4/88,0,,58,9.5
SP,4/6/05,0,,42,0
SP,4/7/04,0,,39,6
SP,4/10/84,0,0,44.5,5
SP,4/11/85,0,,50,50
SP,5/2/08,0,,0,0
